cre_jgi5_5	MapManId	MapManDescription
Cre08.g361700		
Cre08.g377150		
Cre08.g360564	GMM:20.2.3	stress.abiotic.drought/salt
Cre08.g358556	GMM:29.2.1	protein.synthesis.ribosomal protein
Cre08.g382825		
Cre08.g385900		
Cre08.g378450		
Cre08.g376200		
Cre08.g358544		
Cre08.g378250		
Cre08.g368700	GMM:27.3.69	RNA.regulation of transcription.SET-domain transcriptional regulator family
Cre08.g371350		
Cre08.g379650		
Cre08.g368950	GMM:18.5;GMM:13.1.6.1.2	Co-factor and vitamine metabolism.folate and vitamine K;amino acid metabolism.synthesis.aromatic aa.chorismate.3-dehydroquinate synthase
Cre08.g381450		
Cre08.g358563	GMM:27.1	RNA.processing
Cre08.g359100		
Cre08.g363267		
Cre08.g383800		
Cre08.g374150		
Cre08.g373350	GMM:20.2.3	stress.abiotic.drought/salt
Cre08.g359550		
Cre08.g382605		
Cre08.g379800	GMM:27.3.66	RNA.regulation of transcription.pseudo ARR transcription factor family
Cre08.g368176		
Cre08.g368400	GMM:21.2.2	redox.ascorbate and glutathione.glutathione
Cre08.g383300		
Cre08.g371450	GMM:31.4;GMM:29.3.4.99	cell.vesicle transport;protein.targeting.secretory pathway.unspecified
Cre08.g364450	GMM:13.2.2.1	amino acid metabolism.degradation.glutamate family.glutamine
Cre08.g377650		
Cre08.g376700	GMM:28.1;GMM:27.1	DNA.synthesis/chromatin structure;RNA.processing
Cre08.g371150		
Cre08.g371400	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING
Cre08.g366750		
Cre08.g366150		
Cre08.g384800		
Cre08.g364700	GMM:27.4	RNA.RNA binding
Cre08.g370200	GMM:27.3.69	RNA.regulation of transcription.SET-domain transcriptional regulator family
Cre08.g358541	GMM:27.3.63	RNA.regulation of transcription.PHD finger transcription factor
Cre08.g364400	GMM:27.3.3;GMM:17.5.2	"RNA.regulation of transcription.AP2/EREBP, APETALA2/ethylene-responsive element binding protein family;hormone metabolism.ethylene.signal transduction"
Cre08.g367550	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins
Cre08.g358700		
Cre08.g358565		
Cre08.g385550		
Cre08.g373000		
Cre08.g373650		
Cre08.g371566		
Cre08.g379200		
Cre08.g362350	GMM:3.2.4	minor CHO metabolism.trehalose.trehalase
Cre08.g384100	GMM:16.1	secondary metabolism.isoprenoids
Cre08.g383200		
Cre08.g358350	GMM:1.1.4.1	PS.lightreaction.ATP synthase.alpha subunit
Cre08.g376150		
Cre08.g369800	GMM:29.2.3.1	protein.synthesis.initiation.deoxyhypusine synthase
Cre08.g383850		
Cre08.g372150		
Cre08.g377500		
Cre08.g381750		
Cre08.g379100		
Cre08.g367900		
Cre08.g376550	GMM:31.6.1.4.2	cell.motility.eukaryotes.axonemal dyneins.inner arm
Cre08.g385500	GMM:2.2.2.1.1;GMM:2.2.2.1	major CHO metabolism.degradation.starch.starch cleavage.alpha amylase;major CHO metabolism.degradation.starch.starch cleavage
Cre08.g369200	GMM:29.4	protein.postranslational modification
Cre08.g359400		
Cre08.g368500	GMM:27.4	RNA.RNA binding
Cre08.g362682		
Cre08.g375900	GMM:29.2.3	protein.synthesis.initiation
Cre08.g385450		
Cre08.g377200	GMM:28.99;GMM:28.1;GMM:27.3.63;GMM:27.3.44	DNA.unspecified;DNA.synthesis/chromatin structure;RNA.regulation of transcription.PHD finger transcription factor;RNA.regulation of transcription.chromatin remodeling factors
Cre08.g373376		
Cre08.g380950		
Cre08.g374600		
Cre08.g358545		
Cre08.g368900	GMM:29.1.7	protein.aa activation.alanine-tRNA ligase
Cre08.g373370		
Cre08.g373354		
Cre08.g365825	GMM:16.1.4.10	secondary metabolism.isoprenoids.carotenoids.carotenoid cleavage dioxygenase
Cre08.g373344		
Cre08.g369400		
Cre08.g380500		
Cre08.g381650		
Cre08.g377300		
Cre08.g376050		
Cre08.g379600	GMM:29.4	protein.postranslational modification
Cre08.g361900		
Cre08.g366874		
Cre08.g378550	GMM:9.1.1	mitochondrial electron transport / ATP synthesis.NADH-DH (type I).complex I
Cre08.g367150	GMM:34.99	transport.misc
Cre08.g373369		
Cre08.g366400	GMM:28.2	DNA.repair
Cre08.g358575	GMM:34.99	transport.misc
Cre08.g385050	GMM:30.6;GMM:3.6;GMM:29.4.1;GMM:29.4	signalling.MAP kinases;minor CHO metabolism.callose;protein.postranslational modification.kinase;protein.postranslational modification
Cre08.g361950		
Cre08.g358561		
Cre08.g365664		
Cre08.g381200		
Cre08.g372500	GMM:27.3.54	RNA.regulation of transcription.histone acetyltransferases
Cre08.g375500	GMM:3.5;GMM:26.26	minor CHO metabolism.others;misc.aminotransferases
Cre08.g382800	GMM:30.3;GMM:29.4.1;GMM:29.4	signalling.calcium;protein.postranslational modification.kinase;protein.postranslational modification
Cre08.g368750		
Cre08.g373349		
Cre08.g381400		
Cre08.g358527		
Cre08.g358554		
Cre08.g361750		
Cre08.g361400	GMM:27.3.17	RNA.regulation of transcription.CPP(Zn) CPP1-related transcription factor family
Cre08.g385300	GMM:27.3.69	RNA.regulation of transcription.SET-domain transcriptional regulator family
Cre08.g364775		
Cre08.g358553		
Cre08.g373100	GMM:16.1.4.7	secondary metabolism.isoprenoids.carotenoids.carotenoid epsilon ring hydroxylase
Cre08.g371801		
Cre08.g374300	GMM:33.99	development.unspecified
Cre08.g374200	GMM:31.2;GMM:3.6;GMM:29.4.1;GMM:29.4	cell.division;minor CHO metabolism.callose;protein.postranslational modification.kinase;protein.postranslational modification
Cre08.g360600	GMM:20.2.3	stress.abiotic.drought/salt
Cre08.g360750		
Cre08.g370850	GMM:29.5.11.3;GMM:29.5	protein.degradation.ubiquitin.E2;protein.degradation
Cre08.g358547		
Cre08.g378200	GMM:18	Co-factor and vitamine metabolism
Cre08.g381000		
Cre08.g369250		
Cre08.g383550		
Cre08.g365720		
Cre08.g362300	GMM:3.2.4	minor CHO metabolism.trehalose.trehalase
Cre08.g362800		
Cre08.g376250		
Cre08.g371600		
Cre08.g369000		
Cre08.g358555	GMM:27.3.55	RNA.regulation of transcription.HDA
Cre08.g382515	GMM:33.99	development.unspecified
Cre08.g372400	GMM:29.5.11.3;GMM:29.5.11	protein.degradation.ubiquitin.E2;protein.degradation.ubiquitin
Cre08.g377700	GMM:29.5.5	protein.degradation.serine protease
Cre08.g361650	GMM:29.5.11	protein.degradation.ubiquitin
Cre08.g373764		
Cre08.g379750		
Cre08.g385200	GMM:27.1	RNA.processing
Cre08.g362150	GMM:31.6.1.10;GMM:30.99	cell.motility.eukaryotes.flagellar associated proteins;signalling.unspecified
Cre08.g383900		
Cre08.g373375		
Cre08.g374550		
Cre08.g382750	GMM:29.5.11.1	protein.degradation.ubiquitin.ubiquitin
Cre08.g376720	GMM:29.5.3	protein.degradation.cysteine protease
Cre08.g378650		
Cre08.g358200		
Cre08.g358570		
Cre08.g369500		
Cre08.g370450	GMM:29.9;GMM:29.6.2.6;GMM:29.6	protein.co-chaperones;protein.folding.chaperones and co-chaperones.co-chaperones;protein.folding
Cre08.g358529		
Cre08.g384750	GMM:2.2.2.1.1;GMM:2.2.2.1	major CHO metabolism.degradation.starch.starch cleavage.alpha amylase;major CHO metabolism.degradation.starch.starch cleavage
Cre08.g382545		
Cre08.g367950		
Cre08.g358569	GMM:29.4	protein.postranslational modification
Cre08.g373428		
Cre08.g366300		
Cre08.g362650	GMM:31.6.1.3.2.1	cell.motility.eukaryotes.intraflagellar transport.IFT particle protein.complex A
Cre08.g382575		
Cre08.g358535		
Cre08.g373583		
Cre08.g372650		
Cre08.g367350		
Cre08.g365103		
Cre08.g358522	GMM:29.5.3	protein.degradation.cysteine protease
Cre08.g373407		
Cre08.g379576		
Cre08.g359450		
Cre08.g374900	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins
Cre08.g373362		
Cre08.g380350		
Cre08.g378351		
Cre08.g367800	GMM:23.3.3	nucleotide metabolism.salvage.NUDIX hydrolases
Cre08.g375550		
Cre08.g363800		
Cre08.g373300	GMM:30.6;GMM:3.6;GMM:29.4	signalling.MAP kinases;minor CHO metabolism.callose;protein.postranslational modification
Cre08.g368800		
Cre08.g365027		
Cre08.g361984	GMM:31.6.1.10;GMM:30.99	cell.motility.eukaryotes.flagellar associated proteins;signalling.unspecified
Cre08.g378000		
Cre08.g368350		
Cre08.g362450	GMM:2.2.2.1.1;GMM:2.2.2.1	major CHO metabolism.degradation.starch.starch cleavage.alpha amylase;major CHO metabolism.degradation.starch.starch cleavage
Cre08.g385675		
Cre08.g359567		
Cre08.g373373		
Cre08.g363650		
Cre08.g358650		
Cre08.g369950		
Cre08.g381983		
Cre08.g384200	GMM:30.5;GMM:3.5	signalling.G-proteins;minor CHO metabolism.others
Cre08.g382250		
Cre08.g374250	GMM:31.6.1.9	cell.motility.eukaryotes.flagellar adhesion and gamete fusion
Cre08.g383350		
Cre08.g358542		
Cre08.g378500		
Cre08.g377251		
Cre08.g370500		
Cre08.g359850		
Cre08.g368150	GMM:29.4	protein.postranslational modification
Cre08.g361300		
Cre08.g365692	GMM:14.3	S-assimilation.sulfite redox
Cre08.g358500		
Cre08.g368300		
Cre08.g385800		
Cre08.g367050		
Cre08.g358568		
Cre08.g359600	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins
Cre08.g382716	GMM:29.5.11.1	protein.degradation.ubiquitin.ubiquitin
Cre08.g370300		
Cre08.g383950	GMM:16.1	secondary metabolism.isoprenoids
Cre08.g358450		
Cre08.g358250	GMM:35.1.5;GMM:1.1.3.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein;PS.lightreaction.cytochrome b6/f.biogenesis
Cre08.g386050	GMM:29.5.11	protein.degradation.ubiquitin
Cre08.g373346		
Cre08.g360300	GMM:26.22	misc.short chain dehydrogenase/reductase (SDR)
Cre08.g372050		
Cre08.g372350	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins
Cre08.g385350	GMM:27.3.3;GMM:17.5.2	"RNA.regulation of transcription.AP2/EREBP, APETALA2/ethylene-responsive element binding protein family;hormone metabolism.ethylene.signal transduction"
Cre08.g358528	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins
Cre08.g373341		
Cre08.g384650		
Cre08.g378700		
Cre08.g361250		
Cre08.g373374		
Cre08.g362950		
Cre08.g376000		
Cre08.g366676		
Cre08.g384950	GMM:27.4	RNA.RNA binding
Cre08.g363300		
Cre08.g366101	GMM:31.1	cell.organisation
Cre08.g373400		
Cre08.g365900	GMM:1.1.99	PS.lightreaction.unspecified
Cre08.g380700		
Cre08.g362250	GMM:3.2.4	minor CHO metabolism.trehalose.trehalase
Cre08.g362776		
Cre08.g373840		
Cre08.g363700		
Cre08.g382400		
Cre08.g384700	GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator
Cre08.g381850		
Cre08.g365150	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins
Cre08.g373726		
Cre08.g379550	GMM:34.7;GMM:34.2	transport.phosphate;transport.sugars
Cre08.g360350		
Cre08.g365200	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins
Cre08.g361350		
Cre08.g368850		
Cre08.g370350		
Cre08.g361000		
Cre08.g363837	GMM:28.1	DNA.synthesis/chromatin structure
Cre08.g370401	GMM:31.3;GMM:31.2	cell.cycle;cell.division
Cre08.g360500	GMM:20.2.3	stress.abiotic.drought/salt
Cre08.g364501		
Cre08.g373802		
Cre08.g367400	GMM:1.1.99	PS.lightreaction.unspecified
Cre08.g358600		
Cre08.g386000		
Cre08.g379900	GMM:34.14	transport.unspecified cations
Cre08.g376740	GMM:29.5.3	protein.degradation.cysteine protease
Cre08.g382560	GMM:26.2	misc.UDP glucosyl and glucoronyl transferases
Cre08.g373359		
Cre08.g384150		
Cre08.g362000		
Cre08.g377950		
Cre08.g383500		
Cre08.g380400	GMM:31.2	cell.division
Cre08.g373050	GMM:26.1;GMM:11.1.1.1	misc.misc2;lipid metabolism.FA synthesis and FA elongation.acetyl CoA carboxylation.homomeric enzyme
Cre08.g361200		
Cre08.g381516	GMM:26.22	misc.short chain dehydrogenase/reductase (SDR)
Cre08.g358576	GMM:34.14	transport.unspecified cations
Cre08.g381900	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING
Cre08.g379175		
Cre08.g359900	GMM:29.4	protein.postranslational modification
Cre08.g358543		
Cre08.g365065		
Cre08.g379850	GMM:29.4	protein.postranslational modification
Cre08.g381702	GMM:8.2.99;GMM:16.4.2;GMM:13.1.1.1.3	TCA / organic transformation.other organic acid transformations.misc;secondary metabolism.N misc.betaine;amino acid metabolism.synthesis.central amino acid metabolism.GABA.SSADH
Cre08.g359300		
Cre08.g379350	GMM:34.8	transport.metabolite transporters at the envelope membrane
Cre08.g382590	GMM:31.1	cell.organisation
Cre08.g367650	GMM:33.99;GMM:30.5;GMM:27.3.70	development.unspecified;signalling.G-proteins;RNA.regulation of transcription.silencing group
Cre08.g358536		
Cre08.g359950		
Cre08.g373367		
Cre08.g377400		
Cre08.g365141		
Cre08.g379187		
Cre08.g368100		
Cre08.g363383		
Cre08.g375751		
Cre08.g373343		
Cre08.g360900	GMM:29.2.1.99.1.19;GMM:29.2.1.2.1.15	protein.synthesis.ribosomal protein.unknown.small subunit.S19;protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S15
Cre08.g363750		
Cre08.g376350	GMM:27.3.70	RNA.regulation of transcription.silencing group
Cre08.g375850		
Cre08.g358578		
Cre08.g381100		
Cre08.g358537		
Cre08.g369700		
Cre08.g374400		
Cre08.g384628		
Cre08.g362036		
Cre08.g374650	GMM:31.6.1.4.2.1	cell.motility.eukaryotes.axonemal dyneins.inner arm.monomeric species
Cre08.g369150	GMM:35.1.1;GMM:34.16	not assigned.no ontology.ABC1 family protein;transport.ABC transporters and multidrug resistance systems
Cre08.g373500		
Cre08.g363950		
Cre08.g383650		
Cre08.g361551	GMM:29.5.11	protein.degradation.ubiquitin
Cre08.g362700	GMM:29.5;GMM:13.1.3.4.12	protein.degradation;amino acid metabolism.synthesis.aspartate family.methionine.homocysteine S-methyltransferase
Cre08.g381300		
Cre08.g358572	GMM:34.14	transport.unspecified cations
Cre08.g385600	GMM:29.4	protein.postranslational modification
Cre08.g360400	GMM:20.2.3	stress.abiotic.drought/salt
Cre08.g371700		
Cre08.g365500		
Cre08.g358850		
Cre08.g373878		
Cre08.g382200		
Cre08.g358524		
Cre08.g362750		
Cre08.g363100		
Cre08.g360050	GMM:13.2.4.4;GMM:11.1.1.2.4	amino acid metabolism.degradation.branched chain group.leucine;lipid metabolism.FA synthesis and FA elongation.acetyl CoA carboxylation.heteromeric complex.biotin carboxylase
Cre08.g359650		
Cre08.g358557		
Cre08.g360550		
Cre08.g378300		
Cre08.g372850		
Cre08.g373688		
Cre08.g358560		
Cre08.g372300		
Cre08.g366800		
Cre08.g358300		
Cre08.g373225		
Cre08.g384285		
Cre08.g365100	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins
Cre08.g376800	GMM:29.2.3;GMM:11.9.4.2	protein.synthesis.initiation;lipid metabolism.lipid degradation.beta-oxidation.acyl CoA DH
Cre08.g362076		
Cre08.g367876		
Cre08.g366600		
Cre08.g369976		
Cre08.g372200		
Cre08.g363450		
Cre08.g370083		
Cre08.g373421		
Cre08.g358616	GMM:29.4	protein.postranslational modification
Cre08.g364550	GMM:29.5.11.4.1	protein.degradation.ubiquitin.E3.HECT
Cre08.g373365		
Cre08.g363874	GMM:2.2.2.3	major CHO metabolism.degradation.starch.glucan water dikinase
Cre08.g370950		
Cre08.g367200	GMM:33.99;GMM:31.4	development.unspecified;cell.vesicle transport
Cre08.g371957	GMM:33.99;GMM:31.99	development.unspecified;cell.unspecified
Cre08.g371840		
Cre08.g380800		
Cre08.g373353		
Cre08.g382689	GMM:33.99;GMM:29.5.11.1;GMM:29.5.11;GMM:29.2.1.2.2.40;GMM:29.2.1.2.1.27;GMM:29.1	development.unspecified;protein.degradation.ubiquitin.ubiquitin;protein.degradation.ubiquitin;protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L40;protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S27;protein.aa activation
Cre08.g358531		
Cre08.g372900	GMM:31.6.1.1	cell.motility.eukaryotes.basal bodies
Cre08.g369900	GMM:29.4	protein.postranslational modification
Cre08.g368050		
Cre08.g360100		
Cre08.g361600	GMM:29.5.11	protein.degradation.ubiquitin
Cre08.g383000	GMM:27.3.3;GMM:17.5.2	"RNA.regulation of transcription.AP2/EREBP, APETALA2/ethylene-responsive element binding protein family;hormone metabolism.ethylene.signal transduction"
Cre08.g382500	GMM:29.2.1.99.1.25;GMM:29.2.1.2.1.25	protein.synthesis.ribosomal protein.unknown.small subunit.S25;protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S25
Cre08.g365000		
Cre08.g373345		
Cre08.g374700		
Cre08.g378750		
Cre08.g369550		
Cre08.g359350	GMM:13.2.4.4;GMM:11.1.1.2.4;GMM:11.1.1	amino acid metabolism.degradation.branched chain group.leucine;lipid metabolism.FA synthesis and FA elongation.acetyl CoA carboxylation.heteromeric complex.biotin carboxylase;lipid metabolism.FA synthesis and FA elongation.acetyl CoA carboxylation
Cre08.g377550		
Cre08.g364950		
Cre08.g380650		
Cre08.g375084	GMM:27.1.1	RNA.processing.splicing
Cre08.g379450	GMM:26.3	"misc.gluco-, galacto- and mannosidases"
Cre08.g376300		
Cre08.g380201	GMM:13.1.6.1.10	amino acid metabolism.synthesis.aromatic aa.chorismate.3-dehydroquinate dehydratase/shikimate dehydrogenase
Cre08.g358583		
Cre08.g373368		
Cre08.g358523		
Cre08.g358577	GMM:34.14	transport.unspecified cations
Cre08.g360001		
Cre08.g371650		
Cre08.g385700	GMM:29.3.4.99	protein.targeting.secretory pathway.unspecified
Cre08.g373342		
Cre08.g372800	GMM:27.1.1	RNA.processing.splicing
Cre08.g380000		
Cre08.g377350	GMM:23.4.3;GMM:23.4.2;GMM:23.4.1	nucleotide metabolism.phosphotransfer and pyrophosphatases.uridylate kinase;nucleotide metabolism.phosphotransfer and pyrophosphatases.guanylate kinase;nucleotide metabolism.phosphotransfer and pyrophosphatases.adenylate kinase
Cre08.g365550		
Cre08.g362050	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins
Cre08.g358558		
Cre08.g358538	GMM:16.1.4.5	secondary metabolism.isoprenoids.carotenoids.lycopene beta cyclase
Cre08.g364000	GMM:33.99;GMM:3.5;GMM:29.2.2.3.4	development.unspecified;minor CHO metabolism.others;protein.synthesis.ribosome biogenesis.pre-rRNA processing and modifications.WD-repeat proteins
Cre08.g358571	GMM:23.1.2	nucleotide metabolism.synthesis.purine
Cre08.g359700	GMM:18.11	Co-factor and vitamine metabolism.lipoic acid
Cre08.g369050		
Cre08.g373357		
Cre08.g375350	GMM:26.22	misc.short chain dehydrogenase/reductase (SDR)
Cre08.g381950	GMM:29.4	protein.postranslational modification
Cre08.g374350		
Cre08.g381050	GMM:29.5.3	protein.degradation.cysteine protease
Cre08.g382900		
Cre08.g358530		
Cre08.g381600		
Cre08.g364250	GMM:27.3.99	RNA.regulation of transcription.unclassified
Cre08.g368250		
Cre08.g384000	GMM:26.10;GMM:26.1;GMM:17.3.1.1.5	misc.cytochrome P450;misc.misc2;hormone metabolism.brassinosteroid.synthesis-degradation.BRs.metabolic regulation
Cre08.g362500		
Cre08.g358546		
Cre08.g372450	GMM:1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits
Cre08.g375450	GMM:26.22	misc.short chain dehydrogenase/reductase (SDR)
Cre08.g365450		
Cre08.g367850		
Cre08.g382950		
Cre08.g358900	GMM:23.3.1.2	nucleotide metabolism.salvage.phosphoribosyltransferases.hypoxanthine-guanine phosphoribosyltransferase (HPRT)
Cre08.g371250		
Cre08.g363367		
Cre08.g362200	GMM:3.2.4	minor CHO metabolism.trehalose.trehalase
Cre08.g373550		
Cre08.g385100		
Cre08.g385250		
Cre08.g373916	GMM:27.1.19	RNA.processing.ribonucleases
Cre08.g359200	GMM:31.2;GMM:20.2.5	cell.division;stress.abiotic.light
Cre08.g360801		
Cre08.g363150		
Cre08.g360444		
Cre08.g365050		
Cre08.g369850	GMM:34.16	transport.ABC transporters and multidrug resistance systems
Cre08.g358549		
Cre08.g384900	GMM:30.6;GMM:3.6;GMM:29.4	signalling.MAP kinases;minor CHO metabolism.callose;protein.postranslational modification
Cre08.g370550		
Cre08.g370900		
Cre08.g376850		
Cre08.g367750		
Cre08.g369100		
Cre08.g366579		
Cre08.g360850		
Cre08.g361100	GMM:18.1;GMM:18	Co-factor and vitamine metabolism.molybdenum cofactor;Co-factor and vitamine metabolism
Cre08.g372716		
Cre08.g377600		
Cre08.g373356	GMM:29.4	protein.postranslational modification
Cre08.g373363		
Cre08.g373414		
Cre08.g373250	GMM:29.5.11.20;GMM:29.5	protein.degradation.ubiquitin.proteasom;protein.degradation
Cre08.g380763		
Cre08.g378850	GMM:23.1.3	nucleotide metabolism.synthesis.PRS-PP
Cre08.g358521		
Cre08.g371918		
Cre08.g358326		
Cre08.g382700	GMM:29.5.11.1;GMM:29.5.11;GMM:29.2.1.2.2.40;GMM:29.2.1.2.1.27;GMM:29.1	protein.degradation.ubiquitin.ubiquitin;protein.degradation.ubiquitin;protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L40;protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S27;protein.aa activation
Cre08.g366350		
Cre08.g368650		
Cre08.g381550		
Cre08.g377850		
Cre08.g384600		
Cre08.g368026		
Cre08.g373351		
Cre08.g363250		
Cre08.g380300	GMM:29.4	protein.postranslational modification
Cre08.g362019	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins
Cre08.g375400	GMM:31.6.1.9;GMM:27.3.22	cell.motility.eukaryotes.flagellar adhesion and gamete fusion;RNA.regulation of transcription.homeobox transcription factor family (HB)
Cre08.g383050		
Cre08.g364989		
Cre08.g364600		
Cre08.g386100	GMM:26.1	misc.misc2
Cre08.g364931	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins
Cre08.g358100		
Cre08.g380600	GMM:29.4;GMM:27.1.1	protein.postranslational modification;RNA.processing.splicing
Cre08.g384250	GMM:29.4	protein.postranslational modification
Cre08.g363400		
Cre08.g382300	GMM:29.8	protein.assembly and cofactor ligation
Cre08.g372950	GMM:16.1.1.7	secondary metabolism.isoprenoids.non-mevalonate pathway.HDR
Cre08.g369720	GMM:34.16	transport.ABC transporters and multidrug resistance systems
Cre08.g375050		
Cre08.g378800	GMM:27.3.9	RNA.regulation of transcription.C2C2(Zn) GATA transcription factor family
Cre08.g365950	GMM:26.5;GMM:11.7	misc.acyl transferases;lipid metabolism.unassigned
Cre08.g366200		
Cre08.g367300	GMM:27.3.52	RNA.regulation of transcription.global transcription factor group
Cre08.g384320		
Cre08.g370000		
Cre08.g373200	GMM:30.99	signalling.unspecified
Cre08.g365400	GMM:29.2.1.1.1.2.31	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L31
Cre08.g364200	GMM:29.4	protein.postranslational modification
Cre08.g374950		
Cre08.g358562	GMM:29.9;GMM:29.6.2.6;GMM:29.6	protein.co-chaperones;protein.folding.chaperones and co-chaperones.co-chaperones;protein.folding
Cre08.g364050		
Cre08.g377450	GMM:29.3.1	protein.targeting.nucleus
Cre08.g371052	GMM:29.4;GMM:27.3.12	protein.postranslational modification;RNA.regulation of transcription.C3H zinc finger family
Cre08.g373360		
Cre08.g385951		
Cre08.g369350		
Cre08.g360450	GMM:23.1.2	nucleotide metabolism.synthesis.purine
Cre08.g364862	GMM:30.6;GMM:3.6;GMM:29.4.1;GMM:29.4	signalling.MAP kinases;minor CHO metabolism.callose;protein.postranslational modification.kinase;protein.postranslational modification
Cre08.g367600	GMM:13.1.5.3.1	amino acid metabolism.synthesis.serine-glycine-cysteine group.cysteine.OASTL
Cre08.g365204		
Cre08.g365600	GMM:18.2.2;GMM:18	Co-factor and vitamine metabolism.thiamine.hydroxymethylpyrimidine kinase;Co-factor and vitamine metabolism
Cre08.g364726		
Cre08.g379163		
Cre08.g372750		
Cre08.g373372		
Cre08.g378417		
Cre08.g383150	GMM:27.3.70	RNA.regulation of transcription.silencing group
Cre08.g375301		
Cre08.g381800		
Cre08.g371879		
Cre08.g372100	GMM:29.6.2.3;GMM:29.6;GMM:20.2.1	protein.folding.chaperones and co-chaperones.HSP70s;protein.folding;stress.abiotic.heat
Cre08.g375700	GMM:29.5.7	protein.degradation.metalloprotease
Cre08.g376950		
