Identifier	MapMan	MapManDescription	Localization	GO	GODescription	Synonym
Cre08.g381450			Mitochondrion			OPR35
Cre08.g358563	GMM:27.1	RNA.processing		GO:0005524;GO:0003676	ATP binding;nucleic acid binding	
Cre08.g359100						
Cre08.g363267						
Cre08.g383800			Secretory pathway			
Cre08.g374150						
Cre08.g373350	GMM:20.2.3	stress.abiotic.drought/salt	Secretory pathway			
Cre08.g359550						
Cre08.g382605						
Cre08.g379800	GMM:27.3.66	RNA.regulation of transcription.pseudo ARR transcription factor family		GO:0004866	endopeptidase inhibitor activity	
Cre08.g368176						
Cre08.g368400	GMM:21.2.2	redox.ascorbate and glutathione.glutathione		GO:0055114;GO:0045454;GO:0016491;GO:0004791	oxidation-reduction process;cell redox homeostasis;oxidoreductase activity;thioredoxin-disulfide reductase activity	NTR1
Cre08.g383300			Chloroplast	GO:0016020	membrane	
Cre08.g371450	GMM:31.4;GMM:29.3.4.99	cell.vesicle transport;protein.targeting.secretory pathway.unspecified				COPZ1
Cre08.g364450	GMM:13.2.2.1	amino acid metabolism.degradation.glutamate family.glutamine		GO:0008080	N-acetyltransferase activity	NAT1
Cre08.g377650						
Cre08.g376700	GMM:28.1;GMM:27.1	DNA.synthesis/chromatin structure;RNA.processing		GO:0008138;GO:0006470;GO:0006397;GO:0006370;GO:0004484	protein tyrosine/serine/threonine phosphatase activity;protein dephosphorylation;mRNA processing;7-methylguanosine mRNA capping;mRNA guanylyltransferase activity	MRCE1
Cre08.g371150						
Cre08.g371400	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING		GO:0008270	zinc ion binding	CPL16
Cre08.g366750			Mitochondrion			
Cre08.g366150			Mitochondrion			ATG16
Cre08.g384800			Chloroplast			
Cre08.g364700	GMM:27.4	RNA.RNA binding		GO:0003676	nucleic acid binding	
Cre08.g370200	GMM:27.3.69	RNA.regulation of transcription.SET-domain transcriptional regulator family		GO:0005515	protein binding	
Cre08.g358541	GMM:27.3.63	RNA.regulation of transcription.PHD finger transcription factor	Chloroplast			
Cre08.g364400	GMM:27.3.3;GMM:17.5.2	"RNA.regulation of transcription.AP2/EREBP, APETALA2/ethylene-responsive element binding protein family;hormone metabolism.ethylene.signal transduction"	Mitochondrion	GO:0006355;GO:0003700	"regulation of transcription, DNA-templated;transcription factor activity, sequence-specific DNA binding"	
Cre08.g367550	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins				FAP291
Cre08.g358700			Secretory pathway			
Cre08.g358565			Chloroplast			
Cre08.g385550						
Cre08.g373000						
Cre08.g373650						
Cre08.g371566			Chloroplast			
Cre08.g379200			Chloroplast			CPLD18
Cre08.g362350	GMM:3.2.4	minor CHO metabolism.trehalose.trehalase	Secretory pathway			
Cre08.g384100	GMM:16.1	secondary metabolism.isoprenoids				
Cre08.g383200						
Cre08.g358350	GMM:1.1.4.1	PS.lightreaction.ATP synthase.alpha subunit	Chloroplast			TDA1
Cre08.g376150				GO:0017183	peptidyl-diphthamide biosynthetic process from peptidyl-histidine	CGL150
Cre08.g369800	GMM:29.2.3.1	protein.synthesis.initiation.deoxyhypusine synthase		GO:0008612	peptidyl-lysine modification to peptidyl-hypusine	DHS2
Cre08.g383850			Mitochondrion			
Cre08.g372150			Mitochondrion			
Cre08.g377500			Mitochondrion			
Cre08.g381750			Chloroplast			
Cre08.g379100			Secretory pathway	GO:0003723	RNA binding	
Cre08.g367900			Secretory pathway			
Cre08.g376550	GMM:31.6.1.4.2	cell.motility.eukaryotes.axonemal dyneins.inner arm				DLR1
Cre08.g385500	GMM:2.2.2.1.1;GMM:2.2.2.1	major CHO metabolism.degradation.starch.starch cleavage.alpha amylase;major CHO metabolism.degradation.starch.starch cleavage		GO:0043169;GO:0005975;GO:0005509;GO:0004556;GO:0003824	cation binding;carbohydrate metabolic process;calcium ion binding;alpha-amylase activity;catalytic activity	AMA1
Cre08.g369200	GMM:29.4	protein.postranslational modification	Secretory pathway			
Cre08.g359400			Mitochondrion			
Cre08.g368500	GMM:27.4	RNA.RNA binding		GO:0003676	nucleic acid binding	
Cre08.g362682			Mitochondrion			
Cre08.g375900	GMM:29.2.3	protein.synthesis.initiation				EIF2X
Cre08.g385450			Mitochondrion	GO:0016787	hydrolase activity	
Cre08.g377200	GMM:28.99;GMM:28.1;GMM:27.3.63;GMM:27.3.44	DNA.unspecified;DNA.synthesis/chromatin structure;RNA.regulation of transcription.PHD finger transcription factor;RNA.regulation of transcription.chromatin remodeling factors		GO:0005515	protein binding	
Cre08.g373376						
Cre08.g380950						
Cre08.g374600			Secretory pathway			
Cre08.g358545						
Cre08.g368900	GMM:29.1.7	protein.aa activation.alanine-tRNA ligase	Chloroplast	GO:0043039;GO:0016876;GO:0006419;GO:0005524;GO:0004813;GO:0003676;GO:0000166	"tRNA aminoacylation;ligase activity, forming aminoacyl-tRNA and related compounds;alanyl-tRNA aminoacylation;ATP binding;alanine-tRNA ligase activity;nucleic acid binding;nucleotide binding"	TSA2
Cre08.g373370						
Cre08.g373354						
Cre08.g365825	GMM:16.1.4.10	secondary metabolism.isoprenoids.carotenoids.carotenoid cleavage dioxygenase	Chloroplast			
Cre08.g373344						
Cre08.g369400						
Cre08.g380500						
Cre08.g381650			Mitochondrion			
Cre08.g377300			Mitochondrion	GO:0016747	"transferase activity, transferring acyl groups other than amino-acyl groups"	
Cre08.g376050						
Cre08.g379600	GMM:29.4	protein.postranslational modification		GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	
Cre08.g361900						
Cre08.g366874			Chloroplast			
Cre08.g378550	GMM:9.1.1	mitochondrial electron transport / ATP synthesis.NADH-DH (type I).complex I				NUOP4
Cre08.g367150	GMM:34.99	transport.misc	Secretory pathway	GO:0055085;GO:0016021	transmembrane transport;integral component of membrane	MFT23
Cre08.g373369			Mitochondrion			
Cre08.g366400	GMM:28.2	DNA.repair		GO:0043161;GO:0006289;GO:0005515;GO:0003684	proteasome-mediated ubiquitin-dependent protein catabolic process;nucleotide-excision repair;protein binding;damaged DNA binding	RAD23
Cre08.g358575	GMM:34.99	transport.misc	Mitochondrion	GO:0055085;GO:0016020;GO:0006811;GO:0005216	transmembrane transport;membrane;ion transport;ion channel activity	TRP7
Cre08.g385050	GMM:30.6;GMM:3.6;GMM:29.4.1;GMM:29.4	signalling.MAP kinases;minor CHO metabolism.callose;protein.postranslational modification.kinase;protein.postranslational modification		GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	MAPK2
Cre08.g361950			Chloroplast			FAP153
Cre08.g358561						
Cre08.g365664			Chloroplast			
Cre08.g381200						
Cre08.g372500	GMM:27.3.54	RNA.regulation of transcription.histone acetyltransferases				
Cre08.g375500	GMM:3.5;GMM:26.26	minor CHO metabolism.others;misc.aminotransferases		GO:1901137;GO:0030246;GO:0005975;GO:0004360	carbohydrate derivative biosynthetic process;carbohydrate binding;carbohydrate metabolic process;glutamine-fructose-6-phosphate transaminase (isomerizing) activity	ATF1
Cre08.g382800	GMM:30.3;GMM:29.4.1;GMM:29.4	signalling.calcium;protein.postranslational modification.kinase;protein.postranslational modification	Chloroplast	GO:0006468;GO:0005509;GO:0004672	protein phosphorylation;calcium ion binding;protein kinase activity	
Cre08.g368750			Secretory pathway			
Cre08.g373349			Chloroplast			
Cre08.g381400						
Cre08.g358527						
Cre08.g358554				GO:0008138;GO:0006470	protein tyrosine/serine/threonine phosphatase activity;protein dephosphorylation	
Cre08.g361750						
Cre08.g361400	GMM:27.3.17	RNA.regulation of transcription.CPP(Zn) CPP1-related transcription factor family				
Cre08.g385300	GMM:27.3.69	RNA.regulation of transcription.SET-domain transcriptional regulator family	Mitochondrion	GO:0005515	protein binding	HLM14
Cre08.g364775						
Cre08.g358553						
Cre08.g373100	GMM:16.1.4.7	secondary metabolism.isoprenoids.carotenoids.carotenoid epsilon ring hydroxylase	Chloroplast	GO:0055114;GO:0020037;GO:0016705;GO:0005506	"oxidation-reduction process;heme binding;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;iron ion binding"	CYP97C3
Cre08.g371801						
Cre08.g374300	GMM:33.99	development.unspecified				CGL115
Cre08.g374200	GMM:31.2;GMM:3.6;GMM:29.4.1;GMM:29.4	cell.division;minor CHO metabolism.callose;protein.postranslational modification.kinase;protein.postranslational modification		GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	
Cre08.g360600	GMM:20.2.3	stress.abiotic.drought/salt	Secretory pathway	GO:0016020	membrane	ERM4
Cre08.g360750			Chloroplast			
Cre08.g370850	GMM:29.5.11.3;GMM:29.5	protein.degradation.ubiquitin.E2;protein.degradation				UBC18
Cre08.g358547						
Cre08.g378200	GMM:18	Co-factor and vitamine metabolism		GO:0055114;GO:0016638;GO:0010181;GO:0004733	"oxidation-reduction process;oxidoreductase activity, acting on the CH-NH2 group of donors;FMN binding;pyridoxamine-phosphate oxidase activity"	
Cre08.g381000			Mitochondrion			
Cre08.g369250						FAP400
Cre08.g383550				GO:0016567;GO:0004842	protein ubiquitination;ubiquitin-protein transferase activity	
Cre08.g365720			Chloroplast			
Cre08.g362300	GMM:3.2.4	minor CHO metabolism.trehalose.trehalase				
Cre08.g362800						
Cre08.g376250						
Cre08.g371600						
Cre08.g369000			Chloroplast			
Cre08.g358555	GMM:27.3.55	RNA.regulation of transcription.HDA	Chloroplast			
Cre08.g382515	GMM:33.99	development.unspecified		GO:0005515	protein binding	
Cre08.g372400	GMM:29.5.11.3;GMM:29.5.11	protein.degradation.ubiquitin.E2;protein.degradation.ubiquitin				UBC19
Cre08.g377700	GMM:29.5.5	protein.degradation.serine protease		GO:0006508;GO:0004176	proteolysis;ATP-dependent peptidase activity	
Cre08.g361650	GMM:29.5.11	protein.degradation.ubiquitin	Secretory pathway			
Cre08.g373764						
Cre08.g379750			Mitochondrion			
Cre08.g385200	GMM:27.1	RNA.processing		GO:0005681;GO:0000398	"spliceosomal complex;mRNA splicing, via spliceosome"	SMP3
Cre08.g362150	GMM:31.6.1.10;GMM:30.99	cell.motility.eukaryotes.flagellar associated proteins;signalling.unspecified				FAP361
Cre08.g383900			Mitochondrion			
Cre08.g373375						
Cre08.g374550			Mitochondrion			FDX12
Cre08.g382750	GMM:29.5.11.1	protein.degradation.ubiquitin.ubiquitin	Secretory pathway			
Cre08.g376720	GMM:29.5.3	protein.degradation.cysteine protease	Mitochondrion;Chloroplast	GO:0008234;GO:0006508	cysteine-type peptidase activity;proteolysis	CEP7
Cre08.g378650						CGl131
Cre08.g358200				GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre08.g358570			Chloroplast			MCP23
Cre08.g369500			Secretory pathway			
Cre08.g370450	GMM:29.9;GMM:29.6.2.6;GMM:29.6	protein.co-chaperones;protein.folding.chaperones and co-chaperones.co-chaperones;protein.folding	Mitochondrion	GO:0051087;GO:0042803;GO:0006457;GO:0000774	chaperone binding;protein homodimerization activity;protein folding;adenyl-nucleotide exchange factor activity	MGE1
Cre08.g358529						
Cre08.g384750	GMM:2.2.2.1.1;GMM:2.2.2.1	major CHO metabolism.degradation.starch.starch cleavage.alpha amylase;major CHO metabolism.degradation.starch.starch cleavage	Chloroplast	GO:0043169;GO:0005975;GO:0005509;GO:0004556;GO:0003824	cation binding;carbohydrate metabolic process;calcium ion binding;alpha-amylase activity;catalytic activity	AMA3
Cre08.g382545						
Cre08.g367950						FAP323
Cre08.g358569	GMM:29.4	protein.postranslational modification	Secretory pathway			
Cre08.g373428			Mitochondrion			
Cre08.g366300			Chloroplast			
Cre08.g362650	GMM:31.6.1.3.2.1	cell.motility.eukaryotes.intraflagellar transport.IFT particle protein.complex A				IFT140
Cre08.g382575			Chloroplast			
Cre08.g358535						
Cre08.g373583			Mitochondrion	GO:0051205;GO:0016021	protein insertion into membrane;integral component of membrane	ALB3.4
Cre08.g372650			Secretory pathway			
Cre08.g367350			Chloroplast			
Cre08.g365103			Secretory pathway			FAP319
Cre08.g358522	GMM:29.5.3	protein.degradation.cysteine protease	Secretory pathway	GO:0008234;GO:0006508	cysteine-type peptidase activity;proteolysis	CEP5
Cre08.g373407						
Cre08.g379576				GO:0003677	DNA binding	
Cre08.g359450						
Cre08.g374900	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins				
Cre08.g373362						
Cre08.g380350						
Cre08.g378351						
Cre08.g367800	GMM:23.3.3	nucleotide metabolism.salvage.NUDIX hydrolases		GO:0016787	hydrolase activity	NDH2
Cre08.g375550				GO:0008168;GO:0008152	methyltransferase activity;metabolic process	
Cre08.g363800						
Cre08.g373300	GMM:30.6;GMM:3.6;GMM:29.4	signalling.MAP kinases;minor CHO metabolism.callose;protein.postranslational modification	Secretory pathway	GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	MAPKKK1
Cre08.g368800						
Cre08.g365027						
Cre08.g361984	GMM:31.6.1.10;GMM:30.99	cell.motility.eukaryotes.flagellar associated proteins;signalling.unspecified				
Cre08.g378000						
Cre08.g368350						
Cre08.g362450	GMM:2.2.2.1.1;GMM:2.2.2.1	major CHO metabolism.degradation.starch.starch cleavage.alpha amylase;major CHO metabolism.degradation.starch.starch cleavage	Chloroplast	GO:0043169;GO:0005975;GO:0005509;GO:0004556;GO:0003824	cation binding;carbohydrate metabolic process;calcium ion binding;alpha-amylase activity;catalytic activity	AMA2
Cre08.g385675						
Cre08.g359567			Mitochondrion			
Cre08.g373373						
Cre08.g363650			Mitochondrion			
Cre08.g358650			Secretory pathway	GO:0016020	membrane	
Cre08.g369950			Secretory pathway			
Cre08.g381983						
Cre08.g384200	GMM:30.5;GMM:3.5	signalling.G-proteins;minor CHO metabolism.others		GO:0005525;GO:0003924	GTP binding;GTPase activity	
Cre08.g382250						
Cre08.g374250	GMM:31.6.1.9	cell.motility.eukaryotes.flagellar adhesion and gamete fusion	Secretory pathway			SAG1
Cre08.g383350						
Cre08.g358542						
Cre08.g378500						
Cre08.g377251			Mitochondrion			
Cre08.g370500			Chloroplast	GO:0006750;GO:0003839	glutathione biosynthetic process;gamma-glutamylcyclotransferase activity	
Cre08.g359850			Chloroplast			FBB11
Cre08.g368150	GMM:29.4	protein.postranslational modification	Mitochondrion	GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre08.g361300			Mitochondrion	GO:0016021;GO:0008146	integral component of membrane;sulfotransferase activity	
Cre08.g365692	GMM:14.3	S-assimilation.sulfite redox	Chloroplast	GO:0055114;GO:0051536;GO:0020037;GO:0016491	oxidation-reduction process;iron-sulfur cluster binding;heme binding;oxidoreductase activity	SIR4
Cre08.g358500			Chloroplast			
Cre08.g368300			Secretory pathway	GO:0016787;GO:0005524;GO:0003677	hydrolase activity;ATP binding;DNA binding	HEL43
Cre08.g385800						
Cre08.g367050			Mitochondrion			
Cre08.g358568			Secretory pathway	GO:0016757	"transferase activity, transferring glycosyl groups"	
Cre08.g359600	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins	Chloroplast			CSE22
Cre08.g382716	GMM:29.5.11.1	protein.degradation.ubiquitin.ubiquitin		GO:0005515	protein binding	UBQ3
Cre08.g370300						
Cre08.g383950	GMM:16.1	secondary metabolism.isoprenoids				
Cre08.g358450						
Cre08.g358250	GMM:35.1.5;GMM:1.1.3.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein;PS.lightreaction.cytochrome b6/f.biogenesis	Chloroplast			MCA1
Cre08.g386050	GMM:29.5.11	protein.degradation.ubiquitin	Chloroplast			
Cre08.g373346			Secretory pathway			
Cre08.g360300	GMM:26.22	misc.short chain dehydrogenase/reductase (SDR)		GO:0016491;GO:0008152	oxidoreductase activity;metabolic process	
Cre08.g372050						
Cre08.g372350	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins				FAP188
Cre08.g385350	GMM:27.3.3;GMM:17.5.2	"RNA.regulation of transcription.AP2/EREBP, APETALA2/ethylene-responsive element binding protein family;hormone metabolism.ethylene.signal transduction"		GO:0007275;GO:0006355;GO:0003700	"multicellular organismal development;regulation of transcription, DNA-templated;transcription factor activity, sequence-specific DNA binding"	
Cre08.g358528	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins				FAP157
Cre08.g373341						
Cre08.g384650			Chloroplast			
Cre08.g378700						
Cre08.g361250			Chloroplast	GO:0016757	"transferase activity, transferring glycosyl groups"	
Cre08.g373374						
Cre08.g362950			Secretory pathway			
Cre08.g376000						
Cre08.g366676						
Cre08.g384950	GMM:27.4	RNA.RNA binding		GO:0003676	nucleic acid binding	
Cre08.g363300			Mitochondrion	GO:0009116;GO:0003824	nucleoside metabolic process;catalytic activity	
Cre08.g366101	GMM:31.1	cell.organisation				
Cre08.g373400						CSU6
Cre08.g365900	GMM:1.1.99	PS.lightreaction.unspecified	Chloroplast	GO:0016020;GO:0009765	"membrane;photosynthesis, light harvesting"	LHCSR1
Cre08.g380700			Secretory pathway			
Cre08.g362250	GMM:3.2.4	minor CHO metabolism.trehalose.trehalase				
Cre08.g362776			Chloroplast			
Cre08.g373840			Chloroplast			
Cre08.g363700				GO:0005515	protein binding	
Cre08.g382400			Mitochondrion			
Cre08.g384700	GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator				DMA3
Cre08.g381850			Secretory pathway			
Cre08.g365150	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins	Secretory pathway			FAP320
Cre08.g373726						
Cre08.g379550	GMM:34.7;GMM:34.2	transport.phosphate;transport.sugars	Mitochondrion	GO:0055085;GO:0016021	transmembrane transport;integral component of membrane	PHT4
Cre08.g360350			Chloroplast			ADI1
Cre08.g365200	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins	Secretory pathway			FAP321
Cre08.g361350						
Cre08.g368850			Secretory pathway			
Cre08.g370350						
Cre08.g361000			Secretory pathway	GO:0016021;GO:0006810;GO:0005524;GO:0005471	integral component of membrane;transport;ATP binding;ATP:ADP antiporter activity	
Cre08.g363837	GMM:28.1	DNA.synthesis/chromatin structure	Mitochondrion	GO:0006260;GO:0003887;GO:0003677	DNA replication;DNA-directed DNA polymerase activity;DNA binding	POLG1X
Cre08.g370401	GMM:31.3;GMM:31.2	cell.cycle;cell.division	Chloroplast			CYCB1
Cre08.g360500	GMM:20.2.3	stress.abiotic.drought/salt	Secretory pathway	GO:0016020	membrane	ERM2
Cre08.g364501						
Cre08.g373802			Chloroplast			
Cre08.g367400	GMM:1.1.99	PS.lightreaction.unspecified	Chloroplast	GO:0016020;GO:0009765	"membrane;photosynthesis, light harvesting"	LHCSR3.2
Cre08.g358600						
Cre08.g386000						
Cre08.g379900	GMM:34.14	transport.unspecified cations		GO:0055085;GO:0046873;GO:0030001;GO:0016020	transmembrane transport;metal ion transmembrane transporter activity;metal ion transport;membrane	
Cre08.g376740	GMM:29.5.3	protein.degradation.cysteine protease				
Cre08.g382560	GMM:26.2	misc.UDP glucosyl and glucoronyl transferases	Secretory pathway			ELG39
Cre08.g373359			Secretory pathway			
Cre08.g384150			Chloroplast			
Cre08.g362000			Chloroplast			FAP72
Cre08.g377950			Chloroplast			
Cre08.g383500						
Cre08.g380400	GMM:31.2	cell.division		GO:0007094	mitotic spindle assembly checkpoint	MAD2
Cre08.g373050	GMM:26.1;GMM:11.1.1.1	misc.misc2;lipid metabolism.FA synthesis and FA elongation.acetyl CoA carboxylation.homomeric enzyme	Mitochondrion	GO:0006633;GO:0005524;GO:0003989	fatty acid biosynthetic process;ATP binding;acetyl-CoA carboxylase activity	BCC3
Cre08.g361200			Chloroplast			ODA10
Cre08.g381516	GMM:26.22	misc.short chain dehydrogenase/reductase (SDR)		GO:0016491;GO:0008152	oxidoreductase activity;metabolic process	
Cre08.g358576	GMM:34.14	transport.unspecified cations				
Cre08.g381900	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING	Secretory pathway	GO:0008270;GO:0005515	zinc ion binding;protein binding	
Cre08.g379175			Secretory pathway			
Cre08.g359900	GMM:29.4	protein.postranslational modification				
Cre08.g358543			Secretory pathway	GO:0015074;GO:0005515	DNA integration;protein binding	
Cre08.g365065						FAP318
Cre08.g379850	GMM:29.4	protein.postranslational modification	Mitochondrion	GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre08.g381702	GMM:8.2.99;GMM:16.4.2;GMM:13.1.1.1.3	TCA / organic transformation.other organic acid transformations.misc;secondary metabolism.N misc.betaine;amino acid metabolism.synthesis.central amino acid metabolism.GABA.SSADH	Mitochondrion	GO:0055114;GO:0016491;GO:0008152	oxidation-reduction process;oxidoreductase activity;metabolic process	
Cre08.g359300			Secretory pathway	GO:0016787;GO:0009166	hydrolase activity;nucleotide catabolic process	PHO1
Cre08.g379350	GMM:34.8	transport.metabolite transporters at the envelope membrane	Chloroplast			TPT1
Cre08.g382590	GMM:31.1	cell.organisation		GO:0035267;GO:0031011;GO:0006355;GO:0006338;GO:0006281	"NuA4 histone acetyltransferase complex;Ino80 complex;regulation of transcription, DNA-templated;chromatin remodeling;DNA repair"	
